,county,med_age,pop,households,emp,unemp,hispanic,white_nh,black_nh,race_other,housing_un,vac_hu,nohsdipl,med_hh_inc,per_cap_in,not_citz,brn_oth_st,pop_3pl,enrolled,n_enrolled,gr_9_12,med_hm_val,med_yr_blt,own_occ_hu,v_l_50k,ps_uni,ps_below,tot_l18,pov_l18,v50k_150k,v150k_250k,v250k_400k,v400k_750k,v750k_plus
0,PHILLIPS,37.1,4290.0,1689.0,1948.0,28.0,1027.0,3178.0,5.0,80.0,1939.0,250.0,322.0,51155.0,26494.0,447.0,1217.0,4096.0,980.0,3116.0,216.0,158500.0,1957.0,1214.0,123.0,4210.0,256.0,1143.0,42.0,446.0,359.0,204.0,80.0,2.0
1,ARCHULETA,50.9,13253.0,5858.0,6088.0,329.0,2435.0,10116.0,185.0,517.0,9373.0,3515.0,777.0,52221.0,31629.0,269.0,8681.0,12935.0,2120.0,10815.0,460.0,314400.0,1994.0,4230.0,143.0,13150.0,1153.0,2302.0,225.0,543.0,720.0,1580.0,846.0,398.0
2,DENVER,34.5,705576.0,301501.0,402046.0,15669.0,210937.0,382228.0,62754.0,49657.0,321717.0,20216.0,60938.0,68592.0,43770.0,64771.0,306735.0,678966.0,155885.0,523081.0,25812.0,390600.0,1969.0,150382.0,2003.0,693555.0,89203.0,138285.0,25172.0,7342.0,23973.0,44602.0,52993.0,19469.0
3,KIOWA,42.5,1489.0,638.0,697.0,20.0,72.0,1365.0,6.0,46.0,795.0,157.0,43.0,41731.0,25937.0,4.0,559.0,1408.0,304.0,1104.0,37.0,86500.0,1963.0,474.0,95.0,1460.0,177.0,391.0,54.0,224.0,87.0,48.0,20.0,0.0
4,HUERFANO,55.0,6679.0,3225.0,2560.0,82.0,2290.0,4083.0,10.0,296.0,5265.0,2040.0,396.0,38137.0,25140.0,91.0,2795.0,6584.0,1214.0,5370.0,168.0,161600.0,1972.0,2314.0,132.0,6510.0,1030.0,1047.0,240.0,927.0,599.0,413.0,157.0,86.0
5,BACA,46.0,3561.0,1662.0,1622.0,34.0,390.0,3021.0,34.0,116.0,2258.0,596.0,359.0,35878.0,24061.0,83.0,1594.0,3463.0,727.0,2736.0,155.0,83500.0,1964.0,1180.0,367.0,3437.0,654.0,716.0,173.0,499.0,205.0,63.0,20.0,26.0
6,GILPIN,49.0,6018.0,2802.0,3848.0,60.0,503.0,5133.0,20.0,362.0,3799.0,997.0,76.0,76429.0,49641.0,150.0,4093.0,5888.0,931.0,4957.0,244.0,353400.0,1983.0,2230.0,0.0,5856.0,286.0,714.0,20.0,41.0,335.0,1085.0,681.0,88.0
7,KIT CARSON,38.3,7447.0,3004.0,3514.0,131.0,1421.0,5731.0,186.0,109.0,3568.0,564.0,544.0,49349.0,27797.0,442.0,2388.0,7203.0,1583.0,5620.0,317.0,122400.0,1971.0,1995.0,268.0,6951.0,421.0,1796.0,94.0,809.0,550.0,269.0,79.0,20.0
8,GUNNISON,34.5,16802.0,6616.0,9747.0,526.0,1583.0,14607.0,67.0,545.0,11955.0,5339.0,278.0,56577.0,32191.0,335.0,9142.0,16338.0,4916.0,11422.0,727.0,367300.0,1984.0,4065.0,230.0,16075.0,2154.0,2892.0,149.0,236.0,648.0,1148.0,1251.0,552.0
9,MINERAL,56.1,824.0,367.0,418.0,11.0,79.0,712.0,8.0,25.0,1335.0,968.0,18.0,62188.0,33955.0,0.0,528.0,812.0,105.0,707.0,21.0,308600.0,1988.0,318.0,18.0,824.0,113.0,96.0,22.0,28.0,61.0,126.0,61.0,24.0
