,county,year,minor_male,minor_female,adult_male,adult_female,minor_total,adult_total,total
0,Adams,1990.0,41519.0,39525.0,90383.0,94282.0,81044.0,184665.0,265709.0
1,Adams,1991.0,42667.0,40626.0,93526.0,96801.0,83293.0,190327.0,273620.0
2,Adams,1992.0,43805.0,41716.0,96551.0,99314.0,85521.0,195865.0,281386.0
3,Adams,1993.0,45192.0,43042.0,100159.0,102389.0,88234.0,202548.0,290782.0
4,Adams,1994.0,46672.0,44453.0,104001.0,105667.0,91125.0,209668.0,300793.0
5,Adams,1995.0,48422.0,46128.0,108490.0,109547.0,94550.0,218037.0,312587.0
6,Adams,1996.0,49955.0,47596.0,112544.0,112944.0,97551.0,225488.0,323039.0
7,Adams,1997.0,51373.0,48950.0,116367.0,116060.0,100323.0,232427.0,332750.0
8,Adams,1998.0,53023.0,50530.0,120759.0,119713.0,103553.0,240472.0,344025.0
9,Adams,1999.0,54672.0,52105.0,125192.0,123340.0,106777.0,248532.0,355309.0
10,Adams,2000.0,53885.0,51435.0,124590.0,121824.0,105320.0,246414.0,351734.0
11,Adams,2001.0,54950.0,52449.0,127248.0,124787.0,107401.0,252040.0,359441.0
12,Adams,2002.0,56633.0,54214.0,131401.0,128936.0,110850.0,260332.0,371182.0
13,Adams,2003.0,57786.0,55319.0,133403.0,131158.0,113105.0,264564.0,377669.0
14,Adams,2004.0,59273.0,56655.0,135957.0,134066.0,115924.0,270016.0,385940.0
15,Adams,2005.0,60864.0,58181.0,139025.0,137313.0,119043.0,276338.0,395381.0
16,Adams,2006.0,62865.0,60143.0,143057.0,141520.0,123009.0,284579.0,407588.0
17,Adams,2007.0,64122.0,61279.0,145702.0,144819.0,125399.0,290518.0,415917.0
18,Adams,2008.0,65597.0,62539.0,148630.0,148367.0,128138.0,296996.0,425134.0
19,Adams,2009.0,67082.0,63929.0,152612.0,152699.0,131010.0,305311.0,436321.0
20,Adams,2010.0,67901.0,64643.0,155338.0,155829.0,132544.0,311167.0,443711.0
21,Adams,2011.0,68862.0,65681.0,158596.0,159047.0,134542.0,317642.0,452184.0
22,Adams,2012.0,69462.0,66249.0,162109.0,162653.0,135711.0,324757.0,460468.0
23,Adams,2013.0,70288.0,67022.0,165947.0,166616.0,137310.0,332568.0,469878.0
24,Adams,2014.0,71006.0,67749.0,170175.0,170967.0,138755.0,341149.0,479904.0
25,Adams,2015.0,71903.0,68640.0,174458.0,175347.0,140547.0,349808.0,490355.0
26,Adams,2016.0,72109.0,68782.0,177903.0,179026.0,140895.0,356927.0,497822.0
27,Adams,2017.0,71888.0,68553.0,180896.0,182365.0,140444.0,363262.0,503706.0
28,Adams,2018.0,71897.0,68612.0,184665.0,186252.0,140509.0,370911.0,511420.0
29,Adams,2019.0,71422.0,68126.0,187577.0,189360.0,139548.0,376932.0,516480.0
30,Adams,2020.0,70937.0,67514.0,189783.0,191838.0,138449.0,381627.0,520076.0
31,Adams,2021.0,70343.0,67019.0,192131.0,194161.0,137363.0,386291.0,523654.0
32,Adams,2022.0,70089.0,66761.0,195442.0,197602.0,136852.0,393039.0,529891.0
33,Adams,2023.0,69880.0,66528.0,198869.0,201184.0,136407.0,400051.0,536458.0
34,Adams,2024.0,69806.0,66422.0,202886.0,205360.0,136227.0,408239.0,544466.0
35,Adams,2025.0,69725.0,66391.0,207127.0,209685.0,136116.0,416813.0,552929.0
36,Adams,2026.0,69829.0,66509.0,212041.0,214719.0,136341.0,426755.0,563096.0
37,Adams,2027.0,70119.0,66794.0,216813.0,219644.0,136913.0,436460.0,573373.0
38,Adams,2028.0,70552.0,67295.0,221500.0,224393.0,137846.0,445885.0,583731.0
39,Adams,2029.0,71043.0,67968.0,226152.0,229006.0,139013.0,455158.0,594171.0
40,Adams,2030.0,71696.0,68596.0,230688.0,233704.0,140291.0,464390.0,604681.0
41,Adams,2031.0,72564.0,69428.0,235029.0,238230.0,141997.0,473246.0,615243.0
42,Adams,2032.0,73363.0,70196.0,239455.0,242833.0,143558.0,482286.0,625844.0
43,Adams,2033.0,74272.0,71064.0,243791.0,247348.0,145335.0,491137.0,636472.0
44,Adams,2034.0,75055.0,71816.0,248146.0,251880.0,146871.0,500033.0,646904.0
45,Adams,2035.0,75980.0,72697.0,252364.0,256287.0,148680.0,508644.0,657324.0
46,Adams,2036.0,76919.0,73596.0,256547.0,260652.0,150514.0,517196.0,667710.0
47,Adams,2037.0,77966.0,74595.0,260605.0,264891.0,152564.0,525494.0,678058.0
48,Adams,2038.0,79121.0,75698.0,264520.0,268999.0,154818.0,533518.0,688336.0
49,Adams,2039.0,80218.0,76749.0,268454.0,273111.0,156967.0,541562.0,698529.0
50,Adams,2040.0,81376.0,77855.0,272281.0,277129.0,159232.0,549409.0,708641.0
51,Adams,2041.0,82510.0,78940.0,276098.0,281124.0,161448.0,557222.0,718670.0
52,Adams,2042.0,83598.0,79979.0,279885.0,285086.0,163577.0,564971.0,728548.0
53,Adams,2043.0,84618.0,80954.0,283663.0,289042.0,165571.0,572696.0,738267.0
54,Adams,2044.0,85562.0,81857.0,287441.0,292988.0,167425.0,580435.0,747860.0
55,Adams,2045.0,86411.0,82668.0,291253.0,296966.0,169077.0,588217.0,757294.0
56,Adams,2046.0,87166.0,83386.0,295090.0,300953.0,170553.0,596055.0,766608.0
57,Adams,2047.0,87836.0,84027.0,298958.0,304966.0,171862.0,603923.0,775785.0
58,Adams,2048.0,88429.0,84590.0,302827.0,308986.0,173021.0,611815.0,784836.0
59,Adams,2049.0,88956.0,85095.0,306718.0,313017.0,174050.0,619732.0,793782.0
60,Adams,2050.0,89427.0,85542.0,310612.0,317043.0,174968.0,627655.0,802623.0
61,Alamosa,1990.0,2189.0,2117.0,4488.0,4823.0,4306.0,9311.0,13617.0
62,Alamosa,1991.0,2185.0,2094.0,4516.0,4846.0,4279.0,9362.0,13641.0
63,Alamosa,1992.0,2168.0,2066.0,4508.0,4830.0,4234.0,9338.0,13572.0
64,Alamosa,1993.0,2177.0,2060.0,4552.0,4867.0,4237.0,9419.0,13656.0
65,Alamosa,1994.0,2193.0,2066.0,4626.0,4941.0,4259.0,9567.0,13826.0
66,Alamosa,1995.0,2233.0,2086.0,4733.0,5051.0,4319.0,9784.0,14103.0
67,Alamosa,1996.0,2261.0,2100.0,4824.0,5134.0,4361.0,9958.0,14319.0
68,Alamosa,1997.0,2281.0,2102.0,4892.0,5203.0,4383.0,10095.0,14478.0
69,Alamosa,1998.0,2296.0,2101.0,4958.0,5266.0,4397.0,10224.0,14621.0
70,Alamosa,1999.0,2323.0,2111.0,5041.0,5350.0,4434.0,10391.0,14825.0
71,Alamosa,2000.0,2358.0,2129.0,5159.0,5451.0,4487.0,10610.0,15097.0
72,Alamosa,2001.0,2338.0,2133.0,5240.0,5520.0,4468.0,10762.0,15230.0
73,Alamosa,2002.0,2315.0,2122.0,5284.0,5552.0,4439.0,10832.0,15271.0
74,Alamosa,2003.0,2305.0,2113.0,5345.0,5600.0,4417.0,10941.0,15358.0
75,Alamosa,2004.0,2281.0,2097.0,5393.0,5635.0,4378.0,11034.0,15412.0
76,Alamosa,2005.0,2227.0,2068.0,5433.0,5666.0,4295.0,11096.0,15391.0
77,Alamosa,2006.0,2205.0,2043.0,5414.0,5684.0,4249.0,11104.0,15353.0
78,Alamosa,2007.0,2155.0,2010.0,5450.0,5676.0,4162.0,11132.0,15294.0
79,Alamosa,2008.0,2116.0,2004.0,5525.0,5701.0,4121.0,11224.0,15345.0
80,Alamosa,2009.0,2097.0,1997.0,5554.0,5655.0,4094.0,11211.0,15305.0
81,Alamosa,2010.0,2107.0,2016.0,5650.0,5701.0,4123.0,11351.0,15474.0
82,Alamosa,2011.0,2169.0,2018.0,5610.0,5722.0,4196.0,11329.0,15525.0
83,Alamosa,2012.0,2201.0,2044.0,5622.0,5748.0,4239.0,11367.0,15606.0
84,Alamosa,2013.0,2226.0,2089.0,5643.0,5747.0,4320.0,11394.0,15714.0
85,Alamosa,2014.0,2235.0,2125.0,5669.0,5753.0,4360.0,11432.0,15792.0
86,Alamosa,2015.0,2253.0,2161.0,5698.0,5774.0,4419.0,11468.0,15887.0
87,Alamosa,2016.0,2258.0,2171.0,5715.0,5789.0,4426.0,11508.0,15934.0
88,Alamosa,2017.0,2292.0,2176.0,5740.0,5847.0,4469.0,11584.0,16053.0
89,Alamosa,2018.0,2325.0,2199.0,5767.0,5888.0,4525.0,11658.0,16183.0
90,Alamosa,2019.0,2322.0,2201.0,5801.0,5921.0,4522.0,11722.0,16244.0
91,Alamosa,2020.0,2305.0,2194.0,5858.0,5975.0,4497.0,11829.0,16326.0
92,Alamosa,2021.0,2312.0,2192.0,5882.0,6024.0,4507.0,11917.0,16424.0
93,Alamosa,2022.0,2314.0,2211.0,5928.0,6063.0,4523.0,11997.0,16520.0
94,Alamosa,2023.0,2304.0,2216.0,5979.0,6099.0,4520.0,12078.0,16598.0
95,Alamosa,2024.0,2287.0,2198.0,6011.0,6140.0,4482.0,12152.0,16634.0
96,Alamosa,2025.0,2261.0,2181.0,6046.0,6171.0,4443.0,12218.0,16661.0
