,police_dept,county,year,type,count
17,Collbran PD,MESA,2015.0,Murder/Manslaughter,0.0
18,Collbran PD,MESA,2015.0,Negligent Manslaughter,0.0
19,Collbran PD,MESA,2015.0,Rape,0.0
20,Collbran PD,MESA,2015.0,Rape,0.0
21,Collbran PD,MESA,2015.0,Robbery,0.0
22,Collbran PD,MESA,2015.0,Robbery,0.0
23,Collbran PD,MESA,2015.0,Robbery,0.0
24,Collbran PD,MESA,2015.0,Robbery,0.0
25,Collbran PD,MESA,2015.0,Assaults,0.0
26,Collbran PD,MESA,2015.0,Assaults,0.0
27,Collbran PD,MESA,2015.0,Burglary,0.0
28,Collbran PD,MESA,2015.0,Burglary,0.0
29,Collbran PD,MESA,2015.0,Larceny/Theft,1.0
30,Collbran PD,MESA,2015.0,Motor Vehicle Theft,0.0
31,Collbran PD,MESA,2015.0,Motor Vehicle Theft,0.0
32,Collbran PD,MESA,2015.0,Motor Vehicle Theft,0.0
33,Collbran PD,MESA,2015.0,Arson,0.0
34,Custer County Sheriff,CUSTER,2015.0,Murder/Manslaughter,0.0
35,Custer County Sheriff,CUSTER,2015.0,Negligent Manslaughter,0.0
36,Custer County Sheriff,CUSTER,2015.0,Rape,0.0
37,Custer County Sheriff,CUSTER,2015.0,Rape,0.0
38,Custer County Sheriff,CUSTER,2015.0,Robbery,0.0
39,Custer County Sheriff,CUSTER,2015.0,Robbery,0.0
40,Custer County Sheriff,CUSTER,2015.0,Robbery,0.0
41,Custer County Sheriff,CUSTER,2015.0,Robbery,0.0
42,Custer County Sheriff,CUSTER,2015.0,Assaults,8.0
43,Custer County Sheriff,CUSTER,2015.0,Assaults,0.0
44,Custer County Sheriff,CUSTER,2015.0,Burglary,9.0
45,Custer County Sheriff,CUSTER,2015.0,Burglary,4.0
46,Custer County Sheriff,CUSTER,2015.0,Larceny/Theft,53.0
47,Custer County Sheriff,CUSTER,2015.0,Motor Vehicle Theft,3.0
48,Custer County Sheriff,CUSTER,2015.0,Motor Vehicle Theft,1.0
49,Custer County Sheriff,CUSTER,2015.0,Motor Vehicle Theft,1.0
50,Custer County Sheriff,CUSTER,2015.0,Arson,4.0
51,Evans PD,WELD,2015.0,Murder/Manslaughter,0.0
52,Evans PD,WELD,2015.0,Negligent Manslaughter,0.0
53,Evans PD,WELD,2015.0,Rape,4.0
54,Evans PD,WELD,2015.0,Rape,1.0
55,Evans PD,WELD,2015.0,Robbery,1.0
56,Evans PD,WELD,2015.0,Robbery,0.0
57,Evans PD,WELD,2015.0,Robbery,1.0
58,Evans PD,WELD,2015.0,Robbery,1.0
59,Evans PD,WELD,2015.0,Assaults,19.0
60,Evans PD,WELD,2015.0,Assaults,3.0
61,Evans PD,WELD,2015.0,Burglary,32.0
62,Evans PD,WELD,2015.0,Burglary,37.0
63,Evans PD,WELD,2015.0,Larceny/Theft,264.0
64,Evans PD,WELD,2015.0,Motor Vehicle Theft,46.0
65,Evans PD,WELD,2015.0,Motor Vehicle Theft,1.0
66,Evans PD,WELD,2015.0,Motor Vehicle Theft,10.0
67,Evans PD,WELD,2015.0,Arson,1.0
68,Kersey PD,WELD,2015.0,Murder/Manslaughter,0.0
69,Kersey PD,WELD,2015.0,Negligent Manslaughter,0.0
70,Kersey PD,WELD,2015.0,Rape,0.0
71,Kersey PD,WELD,2015.0,Rape,0.0
72,Kersey PD,WELD,2015.0,Robbery,0.0
73,Kersey PD,WELD,2015.0,Robbery,0.0
74,Kersey PD,WELD,2015.0,Robbery,0.0
75,Kersey PD,WELD,2015.0,Robbery,0.0
76,Kersey PD,WELD,2015.0,Assaults,0.0
77,Kersey PD,WELD,2015.0,Assaults,0.0
78,Kersey PD,WELD,2015.0,Burglary,1.0
79,Kersey PD,WELD,2015.0,Burglary,0.0
80,Kersey PD,WELD,2015.0,Larceny/Theft,14.0
81,Kersey PD,WELD,2015.0,Motor Vehicle Theft,2.0
82,Kersey PD,WELD,2015.0,Motor Vehicle Theft,1.0
83,Kersey PD,WELD,2015.0,Motor Vehicle Theft,0.0
84,Kersey PD,WELD,2015.0,Arson,0.0
85,Crested Butte PD,GUNNISON,2015.0,Murder/Manslaughter,0.0
86,Crested Butte PD,GUNNISON,2015.0,Negligent Manslaughter,0.0
87,Crested Butte PD,GUNNISON,2015.0,Rape,1.0
88,Crested Butte PD,GUNNISON,2015.0,Rape,0.0
89,Crested Butte PD,GUNNISON,2015.0,Robbery,0.0
90,Crested Butte PD,GUNNISON,2015.0,Robbery,0.0
91,Crested Butte PD,GUNNISON,2015.0,Robbery,0.0
92,Crested Butte PD,GUNNISON,2015.0,Robbery,0.0
93,Crested Butte PD,GUNNISON,2015.0,Assaults,0.0
94,Crested Butte PD,GUNNISON,2015.0,Assaults,1.0
95,Crested Butte PD,GUNNISON,2015.0,Burglary,0.0
96,Crested Butte PD,GUNNISON,2015.0,Burglary,0.0
97,Crested Butte PD,GUNNISON,2015.0,Larceny/Theft,11.0
98,Crested Butte PD,GUNNISON,2015.0,Motor Vehicle Theft,2.0
99,Crested Butte PD,GUNNISON,2015.0,Motor Vehicle Theft,0.0
100,Crested Butte PD,GUNNISON,2015.0,Motor Vehicle Theft,2.0
101,Crested Butte PD,GUNNISON,2015.0,Arson,0.0
102,Cripple Creek PD,TELLER,2015.0,Murder/Manslaughter,0.0
103,Cripple Creek PD,TELLER,2015.0,Negligent Manslaughter,0.0
104,Cripple Creek PD,TELLER,2015.0,Rape,1.0
105,Cripple Creek PD,TELLER,2015.0,Rape,0.0
106,Cripple Creek PD,TELLER,2015.0,Robbery,0.0
107,Cripple Creek PD,TELLER,2015.0,Robbery,0.0
108,Cripple Creek PD,TELLER,2015.0,Robbery,0.0
109,Cripple Creek PD,TELLER,2015.0,Robbery,0.0
110,Cripple Creek PD,TELLER,2015.0,Assaults,1.0
