,year,policedistrict,Aggravated Assault,All Other Offenses,Arson,Burglary,Curfew Violations,DUI,Disorderly Conduct,Drug Violations,Embezzlement,Forcible Rape,Forgery,Fraud,Gambling,Larceny,Liquor Law Violations,Motor Vehicle Theft,Murder Non Negligent Manslaughter,Other Assaults,Other Family Offenses,Other Sex Offenses,Prostitution,Rape,Robbery,Runaways,Stolen Property,Vagrancy,Vandalism,Weapons
0,2001.0,Adams County Sheriff,108.0,4296.0,2.0,31.0,0.0,607.0,73.0,176.0,0.0,9.0,14.0,12.0,0.0,80.0,195.0,22.0,6.0,0.0,57.0,11.0,0.0,,21.0,0.0,28.0,1.0,79.0,19.0
1,2001.0,Adams State College PD,2.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
2,2001.0,Alamosa County Sheriff,0.0,153.0,0.0,0.0,0.0,94.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,0.0
3,2001.0,Alamosa PD,15.0,289.0,0.0,6.0,0.0,99.0,62.0,19.0,0.0,1.0,4.0,5.0,0.0,88.0,41.0,5.0,0.0,0.0,5.0,1.0,0.0,,2.0,0.0,0.0,0.0,39.0,6.0
4,2001.0,Arapahoe Community College PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5,2001.0,Arapahoe County Sheriff,790.0,619.0,3.0,78.0,0.0,539.0,49.0,342.0,0.0,12.0,55.0,21.0,0.0,268.0,321.0,26.0,0.0,0.0,45.0,0.0,0.0,,3.0,0.0,26.0,0.0,60.0,37.0
6,2001.0,Archuleta County Sheriff,9.0,120.0,0.0,0.0,0.0,40.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,4.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,7.0,2.0
7,2001.0,Arvada PD,38.0,61.0,2.0,31.0,0.0,452.0,133.0,248.0,0.0,2.0,14.0,14.0,0.0,400.0,24.0,10.0,0.0,0.0,78.0,28.0,1.0,,10.0,0.0,0.0,0.0,56.0,15.0
8,2001.0,Aspen PD,35.0,97.0,0.0,3.0,0.0,82.0,64.0,22.0,0.0,2.0,1.0,1.0,0.0,27.0,18.0,2.0,0.0,0.0,0.0,4.0,1.0,,1.0,0.0,0.0,0.0,14.0,1.0
9,2001.0,Auraria DPS,1.0,154.0,0.0,2.0,0.0,14.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,4.0,0.0,1.0,0.0
10,2001.0,Aurora PD,277.0,5091.0,4.0,83.0,0.0,1163.0,1514.0,1075.0,5.0,34.0,96.0,139.0,1.0,1891.0,931.0,78.0,13.0,0.0,287.0,24.0,133.0,,67.0,0.0,121.0,56.0,374.0,224.0
11,2001.0,Avon PD,1.0,123.0,0.0,10.0,0.0,58.0,18.0,15.0,0.0,3.0,4.0,17.0,0.0,32.0,10.0,4.0,0.0,0.0,13.0,1.0,0.0,,0.0,0.0,0.0,0.0,8.0,1.0
12,2001.0,Baca County Sheriff,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
13,2001.0,Basalt PD,0.0,27.0,0.0,0.0,0.0,37.0,2.0,5.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
14,2001.0,Bent County Sheriff,0.0,22.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
15,2001.0,Berthoud PD,0.0,2.0,0.0,0.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
16,2001.0,Black Hawk PD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
17,2001.0,Boulder County Sheriff,32.0,2553.0,2.0,27.0,0.0,870.0,66.0,73.0,2.0,12.0,24.0,43.0,0.0,54.0,318.0,15.0,0.0,0.0,36.0,3.0,1.0,,11.0,0.0,16.0,0.0,30.0,10.0
18,2001.0,Boulder PD,75.0,1398.0,4.0,43.0,0.0,1344.0,82.0,211.0,0.0,9.0,51.0,52.0,0.0,385.0,1011.0,12.0,0.0,0.0,35.0,31.0,1.0,,11.0,0.0,7.0,0.0,111.0,17.0
