,year,police_dept,county,Aggravated Assault,All Other Offenses,Arson,Burglary,Curfew Violations,DUI,Disorderly Conduct,Drug Violations,Embezzlement,Forcible Rape,Forgery,Fraud,Gambling,Larceny,Liquor Law Violations,Motor Vehicle Theft,Murder Non Negligent Manslaughter,Other Assaults,Other Family Offenses,Other Sex Offenses,Prostitution,Rape,Robbery,Runaways,Stolen Property,Vagrancy,Vandalism,Weapons
0,2001.0,Adams County Sheriff,ADAMS,19.0,196.0,5.0,37.0,16.0,12.0,96.0,47.0,0.0,1.0,3.0,1.0,0.0,33.0,96.0,22.0,1.0,50.0,0.0,7.0,0.0,,4.0,0.0,18.0,0.0,39.0,7.0
1,2001.0,Adams State College PD,ALAMOSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,2001.0,Alamosa County Sheriff,ALAMOSA,1.0,18.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
3,2001.0,Alamosa PD,ALAMOSA,9.0,53.0,3.0,6.0,26.0,7.0,21.0,9.0,0.0,0.0,4.0,0.0,0.0,58.0,29.0,2.0,0.0,9.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,6.0,2.0
4,2001.0,Arapahoe Community College PD,ARAPAHOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5,2001.0,Arapahoe County Sheriff,ARAPAHOE,146.0,130.0,1.0,50.0,563.0,15.0,15.0,85.0,0.0,0.0,11.0,0.0,0.0,84.0,193.0,32.0,0.0,0.0,0.0,16.0,0.0,,5.0,508.0,10.0,0.0,54.0,7.0
6,2001.0,Archuleta County Sheriff,ARCHULETA,1.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
7,2001.0,Arvada PD,JEFFERSON,19.0,53.0,10.0,34.0,0.0,8.0,75.0,121.0,0.0,5.0,9.0,1.0,0.0,204.0,19.0,20.0,0.0,31.0,1.0,16.0,0.0,,4.0,0.0,0.0,0.0,37.0,7.0
8,2001.0,Aspen PD,PITKIN,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0
9,2001.0,Aurora PD,ARAPAHOE,86.0,1048.0,0.0,73.0,233.0,18.0,772.0,270.0,0.0,6.0,11.0,28.0,0.0,1070.0,125.0,116.0,2.0,344.0,0.0,8.0,1.0,,42.0,867.0,92.0,0.0,160.0,100.0
