,year,police_dept,county,Aggravated Assault,All Other Offenses,Arson,Burglary,Curfew Violations,DUI,Disorderly Conduct,Drug Violations,Embezzlement,Forcible Rape,Forgery,Fraud,Gambling,Larceny,Liquor Law Violations,Motor Vehicle Theft,Murder Non Negligent Manslaughter,Other Assaults,Other Family Offenses,Other Sex Offenses,Prostitution,Rape,Robbery,Runaways,Stolen Property,Vagrancy,Vandalism,Weapons
0,2001.0,Adams County Sheriff,ADAMS,127.0,4492.0,7.0,68.0,0.0,619.0,169.0,223.0,0.0,10.0,17.0,13.0,0.0,113.0,291.0,44.0,7.0,50.0,57.0,18.0,0.0,,25.0,0.0,46.0,0.0,118.0,26.0
1,2001.0,Adams State College PD,ALAMOSA,2.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
2,2001.0,Alamosa County Sheriff,ALAMOSA,1.0,171.0,0.0,0.0,0.0,97.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,4.0,24.0,0.0,0.0,3.0,11.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,0.0
3,2001.0,Alamosa PD,ALAMOSA,24.0,342.0,3.0,12.0,0.0,106.0,83.0,28.0,0.0,1.0,8.0,5.0,0.0,146.0,70.0,7.0,0.0,9.0,5.0,1.0,0.0,,2.0,0.0,0.0,0.0,45.0,8.0
4,2001.0,Arapahoe Community College PD,ARAPAHOE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
5,2001.0,Arapahoe County Sheriff,ARAPAHOE,936.0,749.0,4.0,128.0,0.0,554.0,64.0,427.0,0.0,12.0,66.0,21.0,0.0,352.0,514.0,58.0,0.0,0.0,45.0,16.0,0.0,,8.0,0.0,36.0,0.0,114.0,44.0
6,2001.0,Archuleta County Sheriff,ARCHULETA,10.0,129.0,0.0,0.0,0.0,41.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,9.0,0.0,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,7.0,2.0
7,2001.0,Arvada PD,JEFFERSON,57.0,114.0,12.0,65.0,0.0,460.0,208.0,369.0,0.0,7.0,23.0,15.0,0.0,604.0,43.0,30.0,0.0,31.0,79.0,44.0,1.0,,14.0,0.0,0.0,0.0,93.0,22.0
8,2001.0,Aspen PD,PITKIN,35.0,98.0,0.0,3.0,0.0,85.0,66.0,23.0,0.0,2.0,1.0,1.0,0.0,27.0,30.0,2.0,0.0,0.0,0.0,4.0,1.0,,1.0,0.0,0.0,0.0,16.0,2.0
9,2001.0,Aurora PD,ARAPAHOE,363.0,6139.0,4.0,156.0,0.0,1181.0,2286.0,1345.0,5.0,40.0,107.0,167.0,1.0,2961.0,1056.0,194.0,15.0,344.0,287.0,32.0,134.0,,109.0,0.0,213.0,0.0,534.0,324.0
