,year,police_dept,county,Arson,Assaults,Burglary,Larceny/Theft,Motor Vehicle Theft,Murder/Manslaughter,Negligent Manslaughter,Rape,Robbery
0,2001.0,Adams County Sheriff,ADAMS,60.0,906.0,794.0,2647.0,727.0,6.0,102.0,,58.0
1,2001.0,Adams State College PD,ALAMOSA,2.0,5.0,4.0,51.0,1.0,0.0,0.0,,0.0
2,2001.0,Alamosa County Sheriff,ALAMOSA,0.0,31.0,0.0,28.0,0.0,0.0,4.0,,0.0
3,2001.0,Alamosa PD,ALAMOSA,3.0,96.0,45.0,307.0,18.0,0.0,12.0,,2.0
4,2001.0,Arapahoe Community College PD,ARAPAHOE,0.0,3.0,3.0,23.0,2.0,0.0,0.0,,0.0
5,2001.0,Arapahoe County Sheriff,ARAPAHOE,71.0,544.0,815.0,1787.0,346.0,0.0,54.0,,36.0
6,2001.0,Archuleta County Sheriff,ARCHULETA,2.0,34.0,73.0,101.0,15.0,0.0,2.0,,3.0
7,2001.0,Arvada PD,JEFFERSON,40.0,595.0,466.0,2783.0,345.0,0.0,47.0,,37.0
8,2001.0,Aspen PD,PITKIN,2.0,61.0,66.0,420.0,26.0,0.0,12.0,,2.0
9,2001.0,Aurora PD,ARAPAHOE,101.0,3176.0,1834.0,10871.0,0.0,17.0,225.0,,0.0
10,2001.0,Avon PD,EAGLE,4.0,93.0,55.0,200.0,15.0,0.0,6.0,,4.0
11,2001.0,Baca County Sheriff,BACA,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0
12,2001.0,Basalt PD,EAGLE,0.0,15.0,7.0,88.0,4.0,0.0,0.0,,1.0
13,2001.0,Bayfield PD,LA PLATA,0.0,3.0,5.0,8.0,1.0,0.0,0.0,,0.0
14,2001.0,Bent County Sheriff,BENT,0.0,2.0,1.0,9.0,0.0,1.0,4.0,,0.0
15,2001.0,Berthoud PD,LARIMER,0.0,9.0,5.0,53.0,0.0,0.0,0.0,,0.0
16,2001.0,Black Hawk PD,GILPIN,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0
17,2001.0,Boulder County Sheriff,BOULDER,46.0,276.0,280.0,354.0,59.0,0.0,55.0,,6.0
18,2001.0,Boulder PD,BOULDER,88.0,666.0,573.0,3145.0,211.0,0.0,60.0,,49.0
19,2001.0,Bow Mar PD,ARAPAHOE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
20,2001.0,Breckenridge PD,SUMMIT,0.0,23.0,19.0,74.0,7.0,0.0,0.0,,2.0
21,2001.0,Broomfield PD,BROOMFIELD,15.0,288.0,167.0,1425.0,103.0,0.0,32.0,,13.0
22,2001.0,Brush PD,MORGAN,0.0,69.0,5.0,120.0,7.0,0.0,4.0,,0.0
23,2001.0,Buena Vista PD,CHAFFEE,0.0,10.0,7.0,56.0,3.0,0.0,0.0,,1.0
24,2001.0,Burlington PD,KIT CARSON,0.0,32.0,21.0,118.0,8.0,0.0,2.0,,0.0
25,2001.0,Castle Rock PD,DOUGLAS,1.0,35.0,21.0,70.0,4.0,0.0,0.0,,0.0
26,2001.0,Cedaredge PD,DELTA,5.0,19.0,15.0,64.0,1.0,0.0,0.0,,0.0
