,county,school_dist,school_dist_code,final_grad_base,graduates_total,graduation_rate,completers_total,completion_rate
0,STATE TOTAL,STATE TOTAL,9999.0,6171.0,3289.0,53.3,3364.0,54.5
1,STATE TOTAL,STATE TOTAL,9999.0,6171.0,3289.0,53.3,3364.0,54.5
2,ADAMS,MAPLETON 1,10.0,219.0,73.0,33.3,76.0,34.7
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,379.0,257.0,67.8,261.0,68.9
4,ADAMS,ADAMS COUNTY 14,30.0,170.0,86.0,50.6,88.0,51.8
5,ADAMS,BRIGHTON 27J,40.0,110.0,63.0,57.3,66.0,60.0
6,ADAMS,BENNETT 29J,50.0,3.0,2.0,66.7,2.0,66.7
7,ADAMS,STRASBURG 31J,60.0,5.0,3.0,60.0,3.0,60.0
8,ADAMS,WESTMINSTER 50,70.0,238.0,147.0,61.8,147.0,61.8
9,ALAMOSA,ALAMOSA RE-11J,100.0,26.0,19.0,73.1,19.0,73.1
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,0.0,0.0,0.0,0.0,0.0
11,ARAPAHOE,ENGLEWOOD 1,120.0,8.0,4.0,50.0,4.0,50.0
12,ARAPAHOE,SHERIDAN 2,123.0,51.0,11.0,21.6,11.0,21.6
13,ARAPAHOE,CHERRY CREEK 5,130.0,219.0,176.0,80.4,177.0,80.8
14,ARAPAHOE,LITTLETON 6,140.0,56.0,35.0,62.5,36.0,64.3
15,ARAPAHOE,DEER TRAIL 26J,170.0,0.0,0.0,0.0,0.0,0.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,1039.0,303.0,29.2,306.0,29.5
17,ARAPAHOE,BYERS 32J,190.0,0.0,0.0,0.0,0.0,0.0
18,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,0.0,0.0,0.0,0.0,0.0
19,BACA,WALSH RE-1,230.0,0.0,0.0,0.0,0.0,0.0
20,BACA,PRITCHETT RE-3,240.0,0.0,0.0,0.0,0.0,0.0
21,BACA,SPRINGFIELD RE-4,250.0,1.0,1.0,100.0,1.0,100.0
22,BACA,VILAS RE-5,260.0,1.0,1.0,100.0,1.0,100.0
23,BACA,CAMPO RE-6,270.0,0.0,0.0,0.0,0.0,0.0
24,BENT,LAS ANIMAS RE-1,290.0,0.0,0.0,0.0,0.0,0.0
25,BENT,MC CLAVE RE-2,310.0,2.0,2.0,100.0,2.0,100.0
26,BOULDER,ST VRAIN VALLEY RE 1J,470.0,171.0,110.0,64.3,112.0,65.5
27,BOULDER,BOULDER VALLEY RE 2,480.0,140.0,99.0,70.7,101.0,72.1
28,CHAFFEE,BUENA VISTA R-31,490.0,0.0,0.0,0.0,0.0,0.0
29,CHAFFEE,SALIDA R-32,500.0,5.0,5.0,100.0,5.0,100.0
30,CHEYENNE,KIT CARSON R-1,510.0,0.0,0.0,0.0,0.0,0.0
31,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,1.0,1.0,100.0,1.0,100.0
32,CLEAR CREEK,CLEAR CREEK RE-1,540.0,2.0,2.0,100.0,2.0,100.0
33,CONEJOS,NORTH CONEJOS RE-1J,550.0,1.0,1.0,100.0,1.0,100.0
34,CONEJOS,SANFORD 6J,560.0,0.0,0.0,0.0,0.0,0.0
35,CONEJOS,SOUTH CONEJOS RE-10,580.0,2.0,1.0,50.0,1.0,50.0
36,COSTILLA,CENTENNIAL R-1,640.0,10.0,10.0,100.0,10.0,100.0
37,COSTILLA,SIERRA GRANDE R-30,740.0,7.0,7.0,100.0,7.0,100.0
38,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,0.0,0.0,0.0,0.0,0.0
39,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,0.0,0.0,0.0,0.0,0.0
40,DELTA,DELTA COUNTY 50(J),870.0,30.0,22.0,73.3,22.0,73.3
41,DENVER,DENVER COUNTY 1,880.0,1000.0,527.0,52.7,543.0,54.3
42,DOLORES,DOLORES COUNTY RE NO.2,890.0,0.0,0.0,0.0,0.0,0.0
43,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,82.0,61.0,74.4,62.0,75.6
44,EAGLE,EAGLE COUNTY RE 50,910.0,142.0,68.0,47.9,68.0,47.9
45,ELBERT,ELIZABETH C-1,920.0,4.0,1.0,25.0,1.0,25.0
46,ELBERT,KIOWA C-2,930.0,2.0,2.0,100.0,2.0,100.0
47,ELBERT,BIG SANDY 100J,940.0,0.0,0.0,0.0,0.0,0.0
48,ELBERT,ELBERT 200,950.0,0.0,0.0,0.0,0.0,0.0
49,ELBERT,AGATE 300,960.0,0.0,0.0,0.0,0.0,0.0
50,EL PASO,CALHAN RJ-1,970.0,0.0,0.0,0.0,0.0,0.0
51,EL PASO,HARRISON 2,980.0,66.0,44.0,66.7,44.0,66.7
52,EL PASO,WIDEFIELD 3,990.0,9.0,6.0,66.7,6.0,66.7
53,EL PASO,FOUNTAIN 8,1000.0,9.0,8.0,88.9,8.0,88.9
54,EL PASO,COLORADO SPRINGS 11,1010.0,125.0,60.0,48.0,63.0,50.4
55,EL PASO,CHEYENNE MOUNTAIN 12,1020.0,2.0,2.0,100.0,2.0,100.0
56,EL PASO,MANITOU SPRINGS 14,1030.0,0.0,0.0,0.0,0.0,0.0
57,EL PASO,ACADEMY 20,1040.0,28.0,21.0,75.0,21.0,75.0
58,EL PASO,ELLICOTT 22,1050.0,1.0,1.0,100.0,1.0,100.0
59,EL PASO,PEYTON 23 JT,1060.0,0.0,0.0,0.0,0.0,0.0
60,EL PASO,HANOVER 28,1070.0,2.0,2.0,100.0,2.0,100.0
61,EL PASO,LEWIS-PALMER 38,1080.0,11.0,11.0,100.0,11.0,100.0
62,EL PASO,FALCON 49,1110.0,23.0,18.0,78.3,18.0,78.3
63,EL PASO,EDISON 54 JT,1120.0,0.0,0.0,0.0,0.0,0.0
64,EL PASO,MIAMI/YODER 60 JT,1130.0,0.0,0.0,0.0,0.0,0.0
65,FREMONT,CANON CITY RE-1,1140.0,0.0,0.0,0.0,0.0,0.0
66,FREMONT,FREMONT RE-2,1150.0,1.0,1.0,100.0,1.0,100.0
67,FREMONT,COTOPAXI RE-3,1160.0,0.0,0.0,0.0,0.0,0.0
68,GARFIELD,ROARING FORK RE-1,1180.0,69.0,40.0,58.0,40.0,58.0
69,GARFIELD,GARFIELD RE-2,1195.0,44.0,28.0,63.6,32.0,72.7
