,county,school_dist,school_dist_code,final_grad_base,graduates_total,graduation_rate,completers_total,completion_rate
0,STATE TOTAL,STATE TOTAL,9999.0,5775.0,3099.0,53.7,3222.0,55.8
1,STATE TOTAL,STATE TOTAL,9999.0,5775.0,3099.0,53.7,3222.0,55.8
2,ADAMS,MAPLETON 1,10.0,49.0,18.0,36.7,19.0,38.8
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,250.0,118.0,47.2,127.0,50.8
4,ADAMS,ADAMS COUNTY 14,30.0,59.0,32.0,54.2,32.0,54.2
5,ADAMS,BRIGHTON 27J,40.0,66.0,33.0,50.0,35.0,53.0
6,ADAMS,BENNETT 29J,50.0,6.0,3.0,50.0,3.0,50.0
7,ADAMS,STRASBURG 31J,60.0,14.0,12.0,85.7,12.0,85.7
8,ADAMS,WESTMINSTER 50,70.0,65.0,26.0,40.0,27.0,41.5
9,ALAMOSA,ALAMOSA RE-11J,100.0,14.0,12.0,85.7,13.0,92.9
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,1.0,1.0,100.0,1.0,100.0
11,ARAPAHOE,ENGLEWOOD 1,120.0,52.0,21.0,40.4,21.0,40.4
12,ARAPAHOE,SHERIDAN 2,123.0,18.0,6.0,33.3,6.0,33.3
13,ARAPAHOE,CHERRY CREEK 5,130.0,412.0,264.0,64.1,270.0,65.5
14,ARAPAHOE,LITTLETON 6,140.0,116.0,76.0,65.5,77.0,66.4
15,ARAPAHOE,DEER TRAIL 26J,170.0,4.0,3.0,75.0,3.0,75.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,269.0,75.0,27.9,75.0,27.9
17,ARAPAHOE,BYERS 32J,190.0,3.0,3.0,100.0,3.0,100.0
18,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,11.0,5.0,45.5,5.0,45.5
19,BACA,WALSH RE-1,230.0,0.0,0.0,0.0,0.0,0.0
20,BACA,PRITCHETT RE-3,240.0,0.0,0.0,0.0,0.0,0.0
21,BACA,SPRINGFIELD RE-4,250.0,1.0,1.0,100.0,1.0,100.0
22,BACA,VILAS RE-5,260.0,7.0,3.0,42.9,3.0,42.9
23,BACA,CAMPO RE-6,270.0,1.0,1.0,100.0,1.0,100.0
24,BENT,LAS ANIMAS RE-1,290.0,10.0,5.0,50.0,5.0,50.0
25,BENT,MC CLAVE RE-2,310.0,1.0,1.0,100.0,1.0,100.0
26,BOULDER,ST VRAIN VALLEY RE 1J,470.0,118.0,61.0,51.7,63.0,53.4
27,BOULDER,BOULDER VALLEY RE 2,480.0,230.0,160.0,69.6,163.0,70.9
28,CHAFFEE,BUENA VISTA R-31,490.0,8.0,6.0,75.0,7.0,87.5
29,CHAFFEE,SALIDA R-32,500.0,9.0,6.0,66.7,6.0,66.7
30,CHEYENNE,KIT CARSON R-1,510.0,1.0,0.0,0.0,0.0,0.0
31,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,1.0,0.0,0.0,0.0,0.0
32,CLEAR CREEK,CLEAR CREEK RE-1,540.0,7.0,6.0,85.7,6.0,85.7
33,CONEJOS,NORTH CONEJOS RE-1J,550.0,11.0,11.0,100.0,11.0,100.0
34,CONEJOS,SANFORD 6J,560.0,3.0,1.0,33.3,2.0,66.7
35,CONEJOS,SOUTH CONEJOS RE-10,580.0,1.0,1.0,100.0,1.0,100.0
36,COSTILLA,CENTENNIAL R-1,640.0,1.0,1.0,100.0,1.0,100.0
37,COSTILLA,SIERRA GRANDE R-30,740.0,0.0,0.0,0.0,0.0,0.0
38,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,4.0,3.0,75.0,3.0,75.0
39,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,5.0,5.0,100.0,5.0,100.0
40,DELTA,DELTA COUNTY 50(J),870.0,44.0,30.0,68.2,30.0,68.2
41,DENVER,DENVER COUNTY 1,880.0,614.0,235.0,38.3,254.0,41.4
42,DOLORES,DOLORES COUNTY RE NO.2,890.0,1.0,1.0,100.0,1.0,100.0
43,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,331.0,220.0,66.5,227.0,68.6
44,EAGLE,EAGLE COUNTY RE 50,910.0,31.0,18.0,58.1,18.0,58.1
45,ELBERT,ELIZABETH C-1,920.0,12.0,10.0,83.3,10.0,83.3
46,ELBERT,KIOWA C-2,930.0,1.0,1.0,100.0,1.0,100.0
47,ELBERT,BIG SANDY 100J,940.0,4.0,4.0,100.0,4.0,100.0
48,ELBERT,ELBERT 200,950.0,2.0,1.0,50.0,1.0,50.0
49,ELBERT,AGATE 300,960.0,0.0,0.0,0.0,0.0,0.0
50,EL PASO,CALHAN RJ-1,970.0,5.0,4.0,80.0,4.0,80.0
51,EL PASO,HARRISON 2,980.0,48.0,28.0,58.3,28.0,58.3
52,EL PASO,WIDEFIELD 3,990.0,81.0,41.0,50.6,43.0,53.1
53,EL PASO,FOUNTAIN 8,1000.0,32.0,23.0,71.9,23.0,71.9
54,EL PASO,COLORADO SPRINGS 11,1010.0,189.0,66.0,34.9,69.0,36.5
55,EL PASO,CHEYENNE MOUNTAIN 12,1020.0,20.0,16.0,80.0,17.0,85.0
56,EL PASO,MANITOU SPRINGS 14,1030.0,5.0,5.0,100.0,5.0,100.0
57,EL PASO,ACADEMY 20,1040.0,111.0,65.0,58.6,69.0,62.2
58,EL PASO,ELLICOTT 22,1050.0,4.0,1.0,25.0,1.0,25.0
