,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,9999.0,369904.0,273934.0,74.1,94138.0,25.4,107242.0,29.0
1,STATE TOTAL,STATE TOTAL,9999.0,369904.0,273934.0,74.1,94138.0,25.4,107242.0,29.0
2,ADAMS,MAPLETON 1,10.0,2729.0,1948.0,71.4,772.0,28.3,837.0,30.7
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,18560.0,12191.0,65.7,6267.0,33.8,7138.0,38.5
4,ADAMS,ADAMS COUNTY 14,30.0,6657.0,4745.0,71.3,1961.0,29.5,2244.0,33.7
5,ADAMS,BRIGHTON 27J,40.0,5986.0,4687.0,78.3,1275.0,21.3,1434.0,24.0
6,ADAMS,BENNETT 29J,50.0,110.0,78.0,70.9,32.0,29.1,32.0,29.1
7,ADAMS,STRASBURG 31J,60.0,240.0,188.0,78.3,52.0,21.7,54.0,22.5
8,ADAMS,WESTMINSTER 50,70.0,9630.0,6183.0,64.2,3404.0,35.3,3728.0,38.7
9,ALAMOSA,ALAMOSA RE-11J,100.0,1786.0,1188.0,66.5,592.0,33.1,640.0,35.8
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,222.0,147.0,66.2,75.0,33.8,78.0,35.1
11,ARAPAHOE,ENGLEWOOD 1,120.0,2056.0,1271.0,61.8,777.0,37.8,865.0,42.1
12,ARAPAHOE,SHERIDAN 2,123.0,1448.0,1000.0,69.1,449.0,31.0,465.0,32.1
13,ARAPAHOE,CHERRY CREEK 5,130.0,14337.0,11293.0,78.8,3023.0,21.1,3187.0,22.2
14,ARAPAHOE,LITTLETON 6,140.0,3696.0,2766.0,74.8,922.0,24.9,984.0,26.6
15,ARAPAHOE,DEER TRAIL 26J,170.0,94.0,58.0,61.7,36.0,38.3,41.0,43.6
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,29784.0,21866.0,73.4,7656.0,25.7,8781.0,29.5
17,ARAPAHOE,BYERS 32J,190.0,243.0,170.0,70.0,73.0,30.0,76.0,31.3
18,GRAND,EAST GRAND 2,1350.0,382.0,308.0,80.6,73.0,19.1,85.0,22.3
19,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,885.0,630.0,71.2,254.0,28.7,275.0,31.1
20,BACA,WALSH RE-1,230.0,69.0,50.0,72.5,19.0,27.5,20.0,29.0
21,BACA,PRITCHETT RE-3,240.0,45.0,23.0,51.1,22.0,48.9,22.0,48.9
22,BACA,SPRINGFIELD RE-4,250.0,183.0,136.0,74.3,47.0,25.7,49.0,26.8
23,BACA,VILAS RE-5,260.0,117.0,54.0,46.2,63.0,53.8,65.0,55.6
24,BACA,CAMPO RE-6,270.0,38.0,30.0,78.9,8.0,21.1,8.0,21.1
25,BENT,LAS ANIMAS RE-1,290.0,458.0,355.0,77.5,103.0,22.5,109.0,23.8
26,BENT,MC CLAVE RE-2,310.0,181.0,143.0,79.0,38.0,21.0,39.0,21.5
27,BOULDER,ST VRAIN VALLEY RE 1J,470.0,10467.0,8650.0,82.6,1783.0,17.0,1993.0,19.0
28,BOULDER,BOULDER VALLEY RE 2,480.0,6921.0,5387.0,77.8,1519.0,21.9,1651.0,23.9
29,CHAFFEE,BUENA VISTA R-31,490.0,451.0,333.0,73.8,118.0,26.2,125.0,27.7
30,CHAFFEE,SALIDA R-32,500.0,496.0,397.0,80.0,98.0,19.8,111.0,22.4
31,CHEYENNE,KIT CARSON R-1,510.0,61.0,45.0,73.8,16.0,26.2,16.0,26.2
32,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,89.0,56.0,62.9,33.0,37.1,35.0,39.3
33,CLEAR CREEK,CLEAR CREEK RE-1,540.0,285.0,209.0,73.3,76.0,26.7,85.0,29.8
34,CONEJOS,NORTH CONEJOS RE-1J,550.0,733.0,608.0,82.9,122.0,16.6,133.0,18.1
35,CONEJOS,SANFORD 6J,560.0,245.0,188.0,76.7,57.0,23.3,57.0,23.3
36,CONEJOS,SOUTH CONEJOS RE-10,580.0,198.0,147.0,74.2,51.0,25.8,52.0,26.3
37,COSTILLA,CENTENNIAL R-1,640.0,238.0,161.0,67.6,77.0,32.4,87.0,36.6
38,COSTILLA,SIERRA GRANDE R-30,740.0,268.0,165.0,61.6,103.0,38.4,110.0,41.0
39,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,419.0,262.0,62.5,157.0,37.5,163.0,38.9
40,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,212.0,142.0,67.0,70.0,33.0,70.0,33.0
41,DELTA,DELTA COUNTY 50(J),870.0,2821.0,2114.0,74.9,692.0,24.5,781.0,27.7
42,DENVER,DENVER COUNTY 1,880.0,60056.0,47096.0,78.4,12398.0,20.6,15623.0,26.0
43,DOLORES,DOLORES COUNTY RE NO.2,890.0,146.0,102.0,69.9,44.0,30.1,45.0,30.8
44,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,7219.0,5364.0,74.3,1852.0,25.7,1913.0,26.5
45,EAGLE,EAGLE COUNTY RE 50,910.0,2834.0,2278.0,80.4,547.0,19.3,612.0,21.6
46,ELBERT,ELIZABETH C-1,920.0,482.0,349.0,72.4,132.0,27.4,141.0,29.3
47,ELBERT,KIOWA C-2,930.0,161.0,130.0,80.7,31.0,19.3,31.0,19.3
48,ELBERT,BIG SANDY 100J,940.0,36.0,2.0,5.6,34.0,94.4,34.0,94.4
49,ELBERT,ELBERT 200,950.0,73.0,37.0,50.7,36.0,49.3,36.0,49.3
50,ELBERT,AGATE 300,960.0,13.0,3.0,23.1,11.0,84.6,11.0,84.6
51,EL PASO,CALHAN RJ-1,970.0,209.0,145.0,69.4,81.0,38.8,88.0,42.1
52,EL PASO,HARRISON 2,980.0,9691.0,5814.0,60.0,3779.0,39.0,4172.0,43.1
53,EL PASO,WIDEFIELD 3,990.0,4532.0,3289.0,72.6,1231.0,27.2,1390.0,30.7
54,EL PASO,FOUNTAIN 8,1000.0,4283.0,2466.0,57.6,1796.0,41.9,1934.0,45.2
55,EL PASO,COLORADO SPRINGS 11,1010.0,18399.0,12100.0,65.8,6200.0,33.7,7456.0,40.5
56,EL PASO,CHEYENNE MOUNTAIN 12,1020.0,814.0,553.0,67.9,261.0,32.1,268.0,32.9
57,EL PASO,MANITOU SPRINGS 14,1030.0,473.0,314.0,66.4,159.0,33.6,159.0,33.6
58,EL PASO,ACADEMY 20,1040.0,3722.0,2572.0,69.1,1144.0,30.7,1224.0,32.9
59,EL PASO,ELLICOTT 22,1050.0,793.0,492.0,62.0,300.0,37.8,305.0,38.5
60,EL PASO,PEYTON 23 JT,1060.0,216.0,153.0,70.8,63.0,29.2,70.0,32.4
61,EL PASO,HANOVER 28,1070.0,227.0,104.0,45.8,123.0,54.2,128.0,56.4
