,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,9999.0,135712.0,101683.0,74.9,33730.0,24.9,37912.0,27.9
1,STATE TOTAL,STATE TOTAL,9999.0,135712.0,101683.0,74.9,33730.0,24.9,37912.0,27.9
2,ADAMS,MAPLETON 1,10.0,2863.0,1890.0,66.0,963.0,33.6,1045.0,36.5
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,6141.0,4149.0,67.6,1969.0,32.1,2248.0,36.6
4,ADAMS,ADAMS COUNTY 14,30.0,3826.0,2795.0,73.1,1235.0,32.3,1405.0,36.7
5,ADAMS,BRIGHTON 27J,40.0,2404.0,1875.0,78.0,522.0,21.7,581.0,24.2
6,ADAMS,BENNETT 29J,50.0,85.0,57.0,67.1,28.0,32.9,29.0,34.1
7,ADAMS,STRASBURG 31J,60.0,40.0,29.0,72.5,11.0,27.5,11.0,27.5
8,ADAMS,WESTMINSTER 50,70.0,5414.0,3744.0,69.2,1651.0,30.5,1810.0,33.4
9,ALAMOSA,ALAMOSA RE-11J,100.0,345.0,243.0,70.4,101.0,29.3,116.0,33.6
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,23.0,22.0,95.7,1.0,4.3,1.0,4.3
11,ARAPAHOE,ENGLEWOOD 1,120.0,365.0,261.0,71.5,104.0,28.5,115.0,31.5
12,ARAPAHOE,SHERIDAN 2,123.0,827.0,610.0,73.8,218.0,26.4,226.0,27.3
13,ARAPAHOE,CHERRY CREEK 5,130.0,5643.0,4657.0,82.5,979.0,17.3,1050.0,18.6
14,ARAPAHOE,LITTLETON 6,140.0,1022.0,788.0,77.1,232.0,22.7,252.0,24.7
15,ARAPAHOE,DEER TRAIL 26J,170.0,5.0,1.0,20.0,4.0,80.0,4.0,80.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,17490.0,12679.0,72.5,4685.0,26.8,5271.0,30.1
17,ARAPAHOE,BYERS 32J,190.0,18.0,16.0,88.9,2.0,11.1,2.0,11.1
18,GRAND,EAST GRAND 2,1350.0,139.0,104.0,74.8,35.0,25.2,38.0,27.3
19,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,120.0,94.0,78.3,26.0,21.7,28.0,23.3
20,BACA,WALSH RE-1,230.0,17.0,10.0,58.8,7.0,41.2,9.0,52.9
21,BACA,PRITCHETT RE-3,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,BACA,SPRINGFIELD RE-4,250.0,3.0,1.0,33.3,2.0,66.7,2.0,66.7
23,BACA,VILAS RE-5,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BACA,CAMPO RE-6,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,BENT,LAS ANIMAS RE-1,290.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
26,BENT,MC CLAVE RE-2,310.0,31.0,25.0,80.6,6.0,19.4,6.0,19.4
27,BOULDER,ST VRAIN VALLEY RE 1J,470.0,5323.0,4566.0,85.8,750.0,14.1,830.0,15.6
28,BOULDER,BOULDER VALLEY RE 2,480.0,3006.0,2461.0,81.9,541.0,18.0,577.0,19.2
29,CHAFFEE,BUENA VISTA R-31,490.0,3.0,2.0,66.7,1.0,33.3,1.0,33.3
30,CHAFFEE,SALIDA R-32,500.0,35.0,24.0,68.6,11.0,31.4,11.0,31.4
31,CHEYENNE,KIT CARSON R-1,510.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
32,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,28.0,12.0,42.9,16.0,57.1,16.0,57.1
33,CLEAR CREEK,CLEAR CREEK RE-1,540.0,13.0,11.0,84.6,2.0,15.4,2.0,15.4
34,CONEJOS,NORTH CONEJOS RE-1J,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,CONEJOS,SANFORD 6J,560.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
36,CONEJOS,SOUTH CONEJOS RE-10,580.0,26.0,23.0,88.5,3.0,11.5,3.0,11.5
37,COSTILLA,CENTENNIAL R-1,640.0,38.0,34.0,89.5,4.0,10.5,4.0,10.5
38,COSTILLA,SIERRA GRANDE R-30,740.0,54.0,40.0,74.1,14.0,25.9,15.0,27.8
39,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,5.0,2.0,40.0,3.0,60.0,3.0,60.0
40,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,DELTA,DELTA COUNTY 50(J),870.0,422.0,311.0,73.7,110.0,26.1,120.0,28.4
42,DENVER,DENVER COUNTY 1,880.0,31131.0,24032.0,77.2,6919.0,22.2,8116.0,26.1
43,DOLORES,DOLORES COUNTY RE NO.2,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,3254.0,2026.0,62.3,1225.0,37.6,1297.0,39.9
45,EAGLE,EAGLE COUNTY RE 50,910.0,2428.0,1965.0,80.9,455.0,18.7,505.0,20.8
46,ELBERT,ELIZABETH C-1,920.0,51.0,36.0,70.6,15.0,29.4,15.0,29.4
47,ELBERT,KIOWA C-2,930.0,14.0,12.0,85.7,2.0,14.3,2.0,14.3
48,ELBERT,BIG SANDY 100J,940.0,6.0,0.0,0.0,6.0,100.0,6.0,100.0
49,ELBERT,ELBERT 200,950.0,4.0,3.0,75.0,1.0,25.0,1.0,25.0
50,ELBERT,AGATE 300,960.0,1.0,0.0,0.0,1.0,100.0,1.0,100.0
51,EL PASO,CALHAN RJ-1,970.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
