,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,9999.0,73344.0,66620.0,90.8,6641.0,9.1,7366.0,10.0
1,STATE TOTAL,STATE TOTAL,9999.0,73344.0,66620.0,90.8,6641.0,9.1,7366.0,10.0
2,ADAMS,MAPLETON 1,10.0,250.0,205.0,82.0,44.0,17.6,47.0,18.8
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,3590.0,3225.0,89.8,361.0,10.1,404.0,11.3
4,ADAMS,ADAMS COUNTY 14,30.0,377.0,317.0,84.1,75.0,19.9,89.0,23.6
5,ADAMS,BRIGHTON 27J,40.0,703.0,630.0,89.6,70.0,10.0,76.0,10.8
6,ADAMS,BENNETT 29J,50.0,55.0,51.0,92.7,4.0,7.3,4.0,7.3
7,ADAMS,STRASBURG 31J,60.0,42.0,42.0,100.0,0.0,0.0,0.0,0.0
8,ADAMS,WESTMINSTER 50,70.0,414.0,348.0,84.1,66.0,15.9,71.0,17.1
9,ALAMOSA,ALAMOSA RE-11J,100.0,26.0,21.0,80.8,5.0,19.2,5.0,19.2
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,12.0,10.0,83.3,2.0,16.7,2.0,16.7
11,ARAPAHOE,ENGLEWOOD 1,120.0,302.0,251.0,83.1,51.0,16.9,51.0,16.9
12,ARAPAHOE,SHERIDAN 2,123.0,54.0,44.0,81.5,10.0,18.5,10.0,18.5
13,ARAPAHOE,CHERRY CREEK 5,130.0,4231.0,4121.0,97.4,106.0,2.5,120.0,2.8
14,ARAPAHOE,LITTLETON 6,140.0,2618.0,2472.0,94.4,145.0,5.5,152.0,5.8
15,ARAPAHOE,DEER TRAIL 26J,170.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,2435.0,2110.0,86.7,317.0,13.0,347.0,14.3
17,ARAPAHOE,BYERS 32J,190.0,11.0,10.0,90.9,1.0,9.1,1.0,9.1
18,GRAND,EAST GRAND 2,1350.0,94.0,78.0,83.0,16.0,17.0,16.0,17.0
19,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,99.0,83.0,83.8,16.0,16.2,17.0,17.2
20,BACA,WALSH RE-1,230.0,11.0,11.0,100.0,0.0,0.0,0.0,0.0
21,BACA,PRITCHETT RE-3,240.0,8.0,7.0,87.5,1.0,12.5,1.0,12.5
22,BACA,SPRINGFIELD RE-4,250.0,9.0,8.0,88.9,1.0,11.1,1.0,11.1
23,BACA,VILAS RE-5,260.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
24,BACA,CAMPO RE-6,270.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
25,BENT,LAS ANIMAS RE-1,290.0,20.0,18.0,90.0,2.0,10.0,2.0,10.0
26,BENT,MC CLAVE RE-2,310.0,19.0,19.0,100.0,0.0,0.0,0.0,0.0
27,BOULDER,ST VRAIN VALLEY RE 1J,470.0,2109.0,1975.0,93.6,134.0,6.4,138.0,6.5
28,BOULDER,BOULDER VALLEY RE 2,480.0,4696.0,4348.0,92.6,348.0,7.4,374.0,8.0
29,CHAFFEE,BUENA VISTA R-31,490.0,22.0,20.0,90.9,2.0,9.1,2.0,9.1
30,CHAFFEE,SALIDA R-32,500.0,62.0,59.0,95.2,3.0,4.8,4.0,6.5
31,CHEYENNE,KIT CARSON R-1,510.0,9.0,9.0,100.0,0.0,0.0,0.0,0.0
32,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,4.0,3.0,75.0,1.0,25.0,1.0,25.0
33,CLEAR CREEK,CLEAR CREEK RE-1,540.0,82.0,70.0,85.4,12.0,14.6,12.0,14.6
34,CONEJOS,NORTH CONEJOS RE-1J,550.0,29.0,26.0,89.7,3.0,10.3,3.0,10.3
35,CONEJOS,SANFORD 6J,560.0,48.0,43.0,89.6,5.0,10.4,5.0,10.4
36,CONEJOS,SOUTH CONEJOS RE-10,580.0,3.0,2.0,66.7,1.0,33.3,1.0,33.3
37,COSTILLA,CENTENNIAL R-1,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,COSTILLA,SIERRA GRANDE R-30,740.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0
39,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,11.0,9.0,81.8,2.0,18.2,2.0,18.2
40,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,38.0,35.0,92.1,3.0,7.9,3.0,7.9
41,DELTA,DELTA COUNTY 50(J),870.0,333.0,316.0,94.9,17.0,5.1,17.0,5.1
42,DENVER,DENVER COUNTY 1,880.0,11416.0,10028.0,87.8,1344.0,11.8,1606.0,14.1
43,DOLORES,DOLORES COUNTY RE NO.2,890.0,11.0,11.0,100.0,0.0,0.0,0.0,0.0
44,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,4022.0,3733.0,92.8,286.0,7.1,303.0,7.5
45,EAGLE,EAGLE COUNTY RE 50,910.0,527.0,462.0,87.7,65.0,12.3,68.0,12.9
46,ELBERT,ELIZABETH C-1,920.0,208.0,190.0,91.3,18.0,8.7,20.0,9.6
47,ELBERT,KIOWA C-2,930.0,16.0,12.0,75.0,4.0,25.0,4.0,25.0
48,ELBERT,BIG SANDY 100J,940.0,19.0,19.0,100.0,0.0,0.0,0.0,0.0
49,ELBERT,ELBERT 200,950.0,8.0,7.0,87.5,1.0,12.5,1.0,12.5
50,ELBERT,AGATE 300,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,EL PASO,CALHAN RJ-1,970.0,30.0,26.0,86.7,5.0,16.7,5.0,16.7
52,EL PASO,HARRISON 2,980.0,486.0,426.0,87.7,58.0,11.9,62.0,12.8
53,EL PASO,WIDEFIELD 3,990.0,273.0,238.0,87.2,34.0,12.5,42.0,15.4
54,EL PASO,FOUNTAIN 8,1000.0,431.0,304.0,70.5,126.0,29.2,133.0,30.9
55,EL PASO,COLORADO SPRINGS 11,1010.0,2878.0,2519.0,87.5,355.0,12.3,428.0,14.9
56,EL PASO,CHEYENNE MOUNTAIN 12,1020.0,637.0,583.0,91.5,54.0,8.5,54.0,8.5
57,EL PASO,MANITOU SPRINGS 14,1030.0,111.0,99.0,89.2,12.0,10.8,12.0,10.8
58,EL PASO,ACADEMY 20,1040.0,2667.0,2405.0,90.2,262.0,9.8,264.0,9.9
59,EL PASO,ELLICOTT 22,1050.0,35.0,30.0,85.7,5.0,14.3,5.0,14.3
60,EL PASO,PEYTON 23 JT,1060.0,33.0,32.0,97.0,1.0,3.0,2.0,6.1
61,EL PASO,HANOVER 28,1070.0,6.0,4.0,66.7,2.0,33.3,2.0,33.3
62,EL PASO,LEWIS-PALMER 38,1080.0,900.0,830.0,92.2,69.0,7.7,74.0,8.2
63,EL PASO,FALCON 49,1110.0,584.0,522.0,89.4,68.0,11.6,70.0,12.0
64,EL PASO,EDISON 54 JT,1120.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0
65,EL PASO,MIAMI/YODER 60 JT,1130.0,5.0,4.0,80.0,1.0,20.0,1.0,20.0
66,FREMONT,CANON CITY RE-1,1140.0,299.0,273.0,91.3,25.0,8.4,27.0,9.0
67,FREMONT,FREMONT RE-2,1150.0,59.0,56.0,94.9,3.0,5.1,4.0,6.8
68,FREMONT,COTOPAXI RE-3,1160.0,11.0,10.0,90.9,1.0,9.1,1.0,9.1
69,GARFIELD,ROARING FORK RE-1,1180.0,332.0,306.0,92.2,26.0,7.8,27.0,8.1
70,GARFIELD,GARFIELD RE-2,1195.0,295.0,260.0,88.1,35.0,11.9,38.0,12.9
71,GARFIELD,GARFIELD 16,1220.0,28.0,23.0,82.1,5.0,17.9,5.0,17.9
72,GILPIN,GILPIN COUNTY RE-1,1330.0,32.0,27.0,84.4,5.0,15.6,5.0,15.6
73,GRAND,WEST GRAND 1-JT.,1340.0,25.0,24.0,96.0,1.0,4.0,1.0,4.0
74,GUNNISON,GUNNISON WATERSHED RE1J,1360.0,232.0,207.0,89.2,25.0,10.8,27.0,11.6
75,HINSDALE,HINSDALE COUNTY RE 1,1380.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0
76,HUERFANO,HUERFANO RE-1,1390.0,8.0,6.0,75.0,2.0,25.0,3.0,37.5
77,HUERFANO,LA VETA RE-2,1400.0,14.0,12.0,85.7,2.0,14.3,2.0,14.3
78,JACKSON,NORTH PARK R-1 ,1410.0,7.0,6.0,85.7,1.0,14.3,1.0,14.3
79,JEFFERSON,JEFFERSON COUNTY R-1,1420.0,10053.0,9466.0,94.2,578.0,5.7,649.0,6.5
80,KIOWA,EADS RE-1,1430.0,11.0,9.0,81.8,2.0,18.2,2.0,18.2
81,KIOWA,PLAINVIEW RE-2,1440.0,4.0,3.0,75.0,1.0,25.0,1.0,25.0
82,KIT CARSON,ARRIBA-FLAGLER C-20,1450.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
83,KIT CARSON,HI-PLAINS R-23,1460.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0
84,KIT CARSON,STRATTON R-4,1480.0,20.0,16.0,80.0,4.0,20.0,4.0,20.0
85,KIT CARSON,BETHUNE R-5,1490.0,8.0,5.0,62.5,3.0,37.5,3.0,37.5
