,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,9999.0,2732.0,1725.0,63.1,988.0,36.2,1108.0,40.6
1,STATE TOTAL,STATE TOTAL,9999.0,2732.0,1725.0,63.1,988.0,36.2,1108.0,40.6
2,ADAMS,MAPLETON 1,10.0,32.0,18.0,56.3,14.0,43.8,15.0,46.9
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,93.0,79.0,84.9,14.0,15.1,16.0,17.2
4,ADAMS,ADAMS COUNTY 14,30.0,54.0,41.0,75.9,14.0,25.9,16.0,29.6
5,ADAMS,BRIGHTON 27J,40.0,73.0,46.0,63.0,26.0,35.6,34.0,46.6
6,ADAMS,BENNETT 29J,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
7,ADAMS,STRASBURG 31J,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ADAMS,WESTMINSTER 50,70.0,61.0,47.0,77.0,14.0,23.0,16.0,26.2
9,ALAMOSA,ALAMOSA RE-11J,100.0,77.0,42.0,54.5,34.0,44.2,40.0,51.9
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0
11,ARAPAHOE,ENGLEWOOD 1,120.0,1.0,0.0,0.0,1.0,100.0,1.0,100.0
12,ARAPAHOE,SHERIDAN 2,123.0,44.0,31.0,70.5,13.0,29.5,13.0,29.5
13,ARAPAHOE,CHERRY CREEK 5,130.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0
14,ARAPAHOE,LITTLETON 6,140.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0
15,ARAPAHOE,DEER TRAIL 26J,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,25.0,2.0,8.0,23.0,92.0,23.0,92.0
17,ARAPAHOE,BYERS 32J,190.0,1.0,0.0,0.0,1.0,100.0,1.0,100.0
18,GRAND,EAST GRAND 2,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0
20,BACA,WALSH RE-1,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,BACA,PRITCHETT RE-3,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,BACA,SPRINGFIELD RE-4,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,BACA,VILAS RE-5,260.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
24,BACA,CAMPO RE-6,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,BENT,LAS ANIMAS RE-1,290.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
26,BENT,MC CLAVE RE-2,310.0,9.0,5.0,55.6,4.0,44.4,4.0,44.4
27,BOULDER,ST VRAIN VALLEY RE 1J,470.0,60.0,50.0,83.3,10.0,16.7,12.0,20.0
28,BOULDER,BOULDER VALLEY RE 2,480.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
29,CHAFFEE,BUENA VISTA R-31,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,CHAFFEE,SALIDA R-32,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,CHEYENNE,KIT CARSON R-1,510.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
32,CHEYENNE,CHEYENNE COUNTY RE-5,520.0,4.0,1.0,25.0,3.0,75.0,3.0,75.0
33,CLEAR CREEK,CLEAR CREEK RE-1,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,CONEJOS,NORTH CONEJOS RE-1J,550.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
35,CONEJOS,SANFORD 6J,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,CONEJOS,SOUTH CONEJOS RE-10,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,COSTILLA,CENTENNIAL R-1,640.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
38,COSTILLA,SIERRA GRANDE R-30,740.0,20.0,13.0,65.0,7.0,35.0,7.0,35.0
39,CROWLEY,CROWLEY COUNTY RE-1-J,770.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
40,CUSTER,CUSTER COUNTY SCHOOL DISTRICT C-1,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,DELTA,DELTA COUNTY 50(J),870.0,53.0,28.0,52.8,25.0,47.2,25.0,47.2
42,DENVER,DENVER COUNTY 1,880.0,30.0,27.0,90.0,3.0,10.0,3.0,10.0
43,DOLORES,DOLORES COUNTY RE NO.2,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,DOUGLAS,DOUGLAS COUNTY RE 1,900.0,7.0,1.0,14.3,6.0,85.7,6.0,85.7
45,EAGLE,EAGLE COUNTY RE 50,910.0,28.0,22.0,78.6,6.0,21.4,6.0,21.4
46,ELBERT,ELIZABETH C-1,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ELBERT,KIOWA C-2,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,ELBERT,BIG SANDY 100J,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,ELBERT,ELBERT 200,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,ELBERT,AGATE 300,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,EL PASO,CALHAN RJ-1,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,EL PASO,HARRISON 2,980.0,1.0,0.0,0.0,1.0,100.0,1.0,100.0
53,EL PASO,WIDEFIELD 3,990.0,3.0,2.0,66.7,1.0,33.3,1.0,33.3
54,EL PASO,FOUNTAIN 8,1000.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
55,EL PASO,COLORADO SPRINGS 11,1010.0,23.0,13.0,56.5,10.0,43.5,11.0,47.8
56,EL PASO,CHEYENNE MOUNTAIN 12,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,EL PASO,MANITOU SPRINGS 14,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,EL PASO,ACADEMY 20,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,EL PASO,ELLICOTT 22,1050.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
60,EL PASO,PEYTON 23 JT,1060.0,3.0,2.0,66.7,1.0,33.3,1.0,33.3
61,EL PASO,HANOVER 28,1070.0,12.0,7.0,58.3,5.0,41.7,5.0,41.7
62,EL PASO,LEWIS-PALMER 38,1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,EL PASO,FALCON 49,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,EL PASO,EDISON 54 JT,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,EL PASO,MIAMI/YODER 60 JT,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,FREMONT,CANON CITY RE-1,1140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,FREMONT,FREMONT RE-2,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,FREMONT,COTOPAXI RE-3,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,GARFIELD,ROARING FORK RE-1,1180.0,14.0,10.0,71.4,4.0,28.6,4.0,28.6
70,GARFIELD,GARFIELD RE-2,1195.0,28.0,20.0,71.4,8.0,28.6,8.0,28.6
71,GARFIELD,GARFIELD 16,1220.0,4.0,0.0,0.0,4.0,100.0,4.0,100.0
72,GILPIN,GILPIN COUNTY RE-1,1330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,GRAND,WEST GRAND 1-JT.,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,GUNNISON,GUNNISON WATERSHED RE1J,1360.0,3.0,2.0,66.7,1.0,33.3,1.0,33.3
75,HINSDALE,HINSDALE COUNTY RE 1,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,HUERFANO,HUERFANO RE-1,1390.0,4.0,3.0,75.0,1.0,25.0,1.0,25.0
77,HUERFANO,LA VETA RE-2,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,JACKSON,NORTH PARK R-1 ,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,JEFFERSON,JEFFERSON COUNTY R-1,1420.0,67.0,54.0,80.6,13.0,19.4,13.0,19.4
80,KIOWA,EADS RE-1,1430.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
81,KIOWA,PLAINVIEW RE-2,1440.0,1.0,0.0,0.0,1.0,100.0,1.0,100.0
82,KIT CARSON,ARRIBA-FLAGLER C-20,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,KIT CARSON,HI-PLAINS R-23,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,KIT CARSON,STRATTON R-4,1480.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
85,KIT CARSON,BETHUNE R-5,1490.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
86,KIT CARSON,BURLINGTON RE-6J,1500.0,39.0,34.0,87.2,5.0,12.8,5.0,12.8
87,LAKE,LAKE COUNTY R-1,1510.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
88,LA PLATA,DURANGO 9-R,1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,LA PLATA,BAYFIELD 10 JT-R,1530.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
90,LA PLATA,IGNACIO 11 JT,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,LARIMER,POUDRE R-1,1550.0,44.0,33.0,75.0,11.0,25.0,11.0,25.0
92,BOULDER,THOMPSON R2-J,1560.0,14.0,3.0,21.4,11.0,78.6,11.0,78.6
93,LARIMER,PARK (ESTES PARK) R-3,1570.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
94,LAS ANIMAS,TRINIDAD 1,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,LAS ANIMAS,PRIMERO REORGANIZED 2,1590.0,2.0,1.0,50.0,1.0,50.0,1.0,50.0
96,LAS ANIMAS,HOEHNE REORGANIZED 3,1600.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0
97,LAS ANIMAS,AGUILAR REORGANIZED 6,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,LAS ANIMAS,BRANSON REORGANIZED 82,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,LAS ANIMAS,KIM REORGANIZED 88,1760.0,2.0,0.0,0.0,2.0,100.0,2.0,100.0
100,LINCOLN,GENOA-HUGO C113,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,LINCOLN,LIMON RE-4J,1790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,LINCOLN,KARVAL RE-23,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,LOGAN,VALLEY RE-1,1828.0,9.0,5.0,55.6,4.0,44.4,4.0,44.4
104,LOGAN,FRENCHMAN RE-3,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,LOGAN,BUFFALO RE-4J,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,LOGAN,PLATEAU RE-5,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,MESA,DE BEQUE 49JT,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,MESA,PLATEAU VALLEY 50,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,MESA,MESA COUNTY VALLEY 51,2000.0,110.0,72.0,65.5,37.0,33.6,46.0,41.8
110,MINERAL,CREEDE SCHOOL DISTRICT,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,MOFFAT,MOFFAT COUNTY RE:NO 1,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,MONTEZUMA,MONTEZUMA-CORTEZ RE-1,2035.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0
113,MONTEZUMA,DOLORES RE-4A,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,MONTEZUMA,MANCOS RE-6,2070.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
115,MONTROSE,MONTROSE COUNTY RE-1J,2180.0,92.0,54.0,58.7,34.0,37.0,43.0,46.7
116,MONTROSE,WEST END RE-2,2190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,MORGAN,BRUSH RE-2(J),2395.0,31.0,16.0,51.6,15.0,48.4,18.0,58.1
118,MORGAN,FORT MORGAN RE-3,2405.0,192.0,98.0,51.0,93.0,48.4,100.0,52.1
119,MORGAN,WELDON VALLEY RE-20(J),2505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,MORGAN,WIGGINS RE-50(J),2515.0,19.0,11.0,57.9,8.0,42.1,8.0,42.1
121,OTERO,EAST OTERO R-1,2520.0,6.0,5.0,83.3,1.0,16.7,1.0,16.7
122,OTERO,ROCKY FORD R-2,2530.0,24.0,12.0,50.0,12.0,50.0,14.0,58.3
123,OTERO,MANZANOLA 3J,2535.0,45.0,17.0,37.8,28.0,62.2,28.0,62.2
124,OTERO,FOWLER R-4J,2540.0,4.0,0.0,0.0,4.0,100.0,4.0,100.0
125,OTERO,CHERAW 31,2560.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0
126,OTERO,SWINK 33,2570.0,1.0,0.0,0.0,1.0,100.0,1.0,100.0
127,OURAY,OURAY R-1,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,OURAY,RIDGWAY R-2,2590.0,3.0,2.0,66.7,1.0,33.3,1.0,33.3
129,PARK,PLATTE CANYON 1,2600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,PARK,PARK COUNTY RE-2,2610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,PHILLIPS,HOLYOKE RE-1J,2620.0,11.0,5.0,45.5,6.0,54.5,6.0,54.5
132,PHILLIPS,HAXTUN RE-2J,2630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,PITKIN,ASPEN 1,2640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,PROWERS,GRANADA RE-1,2650.0,18.0,1.0,5.6,17.0,94.4,17.0,94.4
135,PROWERS,LAMAR RE-2,2660.0,48.0,39.0,81.3,9.0,18.8,10.0,20.8
136,PROWERS,HOLLY RE-3,2670.0,21.0,20.0,95.2,1.0,4.8,1.0,4.8
137,PROWERS,WILEY RE-13 JT,2680.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
138,PUEBLO,PUEBLO CITY 60,2690.0,54.0,34.0,63.0,20.0,37.0,21.0,38.9
139,PUEBLO,PUEBLO COUNTY 70,2700.0,37.0,26.0,70.3,11.0,29.7,12.0,32.4
140,RIO BLANCO,MEEKER RE1,2710.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
141,RIO BLANCO,RANGELY RE-4,2720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,RIO GRANDE,DEL NORTE C-7,2730.0,5.0,4.0,80.0,1.0,20.0,1.0,20.0
143,RIO GRANDE,MONTE VISTA C-8,2740.0,65.0,38.0,58.5,27.0,41.5,30.0,46.2
144,RIO GRANDE,SARGENT RE-33J,2750.0,4.0,3.0,75.0,1.0,25.0,1.0,25.0
145,ROUTT,HAYDEN RE-1,2760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,ROUTT,STEAMBOAT SPRINGS RE-2,2770.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0
147,ROUTT,SOUTH ROUTT RE 3,2780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,SAGUACHE,MOUNTAIN VALLEY RE 1,2790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,SAGUACHE,MOFFAT 2,2800.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0
150,SAGUACHE,CENTER 26 JT,2810.0,116.0,55.0,47.4,61.0,52.6,70.0,60.3
151,SAN JUAN,SILVERTON 1,2820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,SAN MIGUEL,TELLURIDE R-1,2830.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0
153,SAN MIGUEL,NORWOOD R-2J,2840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,SEDGWICK,JULESBURG RE-1,2862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
