,county,school_dist,school_dist_code,pupil_count,stable_student_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,9999.0,84121.0,65593.0,78.0,18348.0,21.8,20784.0,24.7
1,STATE TOTAL,STATE TOTAL,9999.0,84121.0,65593.0,78.0,18348.0,21.8,20784.0,24.7
2,ADAMS,MAPLETON 1,10.0,735.0,469.0,63.8,261.0,35.5,279.0,38.0
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,4339.0,3001.0,69.2,1325.0,30.5,1501.0,34.6
4,ADAMS,ADAMS COUNTY 14,30.0,876.0,636.0,72.6,266.0,30.4,311.0,35.5
5,ADAMS,BRIGHTON 27J,40.0,1405.0,1133.0,80.6,268.0,19.1,300.0,21.4
6,ADAMS,BENNETT 29J,50.0,131.0,90.0,68.7,41.0,31.3,41.0,31.3
7,ADAMS,STRASBURG 31J,60.0,128.0,102.0,79.7,26.0,20.3,26.0,20.3
8,ADAMS,WESTMINSTER 50,70.0,1234.0,832.0,67.4,401.0,32.5,438.0,35.5
9,ALAMOSA,ALAMOSA RE-11J,100.0,207.0,152.0,73.4,54.0,26.1,57.0,27.5
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,16.0,7.0,43.8,9.0,56.3,9.0,56.3
11,ARAPAHOE,ENGLEWOOD 1,120.0,398.0,260.0,65.3,138.0,34.7,152.0,38.2
12,ARAPAHOE,SHERIDAN 2,123.0,185.0,129.0,69.7,56.0,30.3,58.0,31.4
13,ARAPAHOE,CHERRY CREEK 5,130.0,5707.0,4845.0,84.9,860.0,15.1,901.0,15.8
14,ARAPAHOE,LITTLETON 6,140.0,1419.0,1148.0,80.9,268.0,18.9,292.0,20.6
15,ARAPAHOE,DEER TRAIL 26J,170.0,24.0,13.0,54.2,11.0,45.8,11.0,45.8
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,4043.0,3019.0,74.7,1002.0,24.8,1135.0,28.1
17,ARAPAHOE,BYERS 32J,190.0,66.0,47.0,71.2,19.0,28.8,19.0,28.8
