,county,school_dist,school_dist_code,pupil_count,stable_student_count,pupil_stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,9999.0,223008.0,156814.0,70.3,64601.0,29.0,73472.0,32.9
1,STATE TOTAL,STATE TOTAL,9999.0,223008.0,156814.0,70.3,64601.0,29.0,73472.0,32.9
2,ADAMS,MAPLETON 1,10.0,4045.0,2717.0,67.2,1317.0,32.6,1365.0,33.7
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,8571.0,5618.0,65.5,2873.0,33.5,3369.0,39.3
4,ADAMS,ADAMS COUNTY 14,30.0,5555.0,3989.0,71.8,1537.0,27.7,1782.0,32.1
5,ADAMS,BRIGHTON 27J,40.0,624.0,465.0,74.5,157.0,25.2,173.0,27.7
6,ADAMS,BENNETT 29J,50.0,450.0,329.0,73.1,121.0,26.9,123.0,27.3
7,ADAMS,STRASBURG 31J,60.0,42.0,33.0,78.6,9.0,21.4,9.0,21.4
8,ADAMS,WESTMINSTER 50,70.0,4550.0,2856.0,62.8,1666.0,36.6,1834.0,40.3
9,ALAMOSA,ALAMOSA RE-11J,100.0,1201.0,790.0,65.8,411.0,34.2,426.0,35.5
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,353.0,241.0,68.3,112.0,31.7,115.0,32.6
11,ARAPAHOE,ENGLEWOOD 1,120.0,1577.0,1021.0,64.7,553.0,35.1,592.0,37.5
12,ARAPAHOE,SHERIDAN 2,123.0,1226.0,783.0,63.9,444.0,36.2,459.0,37.4
13,ARAPAHOE,CHERRY CREEK 5,130.0,6058.0,4205.0,69.4,1831.0,30.2,1924.0,31.8
14,ARAPAHOE,LITTLETON 6,140.0,1365.0,1032.0,75.6,328.0,24.0,355.0,26.0
15,ARAPAHOE,DEER TRAIL 26J,170.0,20.0,17.0,85.0,3.0,15.0,3.0,15.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,16745.0,11682.0,69.8,4877.0,29.1,5498.0,32.8
17,ARAPAHOE,BYERS 32J,190.0,23.0,17.0,73.9,6.0,26.1,6.0,26.1
18,GRAND,EAST GRAND 2,1350.0,123.0,104.0,84.6,19.0,15.4,19.0,15.4
19,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,1073.0,830.0,77.4,243.0,22.6,257.0,24.0
20,BACA,WALSH RE-1,230.0,23.0,18.0,78.3,5.0,21.7,6.0,26.1
