,county,school_dist,school_dist_code,pupil_count,stable_pupil_count,stability_rate,mobile_student_count,student_mobility_rate,instances_of_mobility,mobility_incidence_rate
0,STATE TOTAL,STATE TOTAL,9999.0,939283.0,705064.0,75.1,231706.0,24.7,253577.0,27.0
1,STATE TOTAL,STATE TOTAL,9999.0,939283.0,705064.0,75.1,231706.0,24.7,253577.0,27.0
2,ADAMS,MAPLETON 1,10.0,9037.0,5077.0,56.2,3919.0,43.4,4133.0,45.7
3,ADAMS,ADAMS 12 FIVE STAR SCHOOLS,20.0,49889.0,34283.0,68.7,15424.0,30.9,16854.0,33.8
4,ADAMS,ADAMS COUNTY 14,30.0,8265.0,5510.0,66.7,3038.0,36.8,3397.0,41.1
5,ADAMS,BRIGHTON 27J,40.0,17152.0,13109.0,76.4,3982.0,23.2,4294.0,25.0
6,ADAMS,BENNETT 29J,50.0,1200.0,895.0,74.6,305.0,25.4,312.0,26.0
7,ADAMS,STRASBURG 31J,60.0,1052.0,828.0,78.7,224.0,21.3,227.0,21.6
8,ADAMS,WESTMINSTER 50,70.0,11951.0,7570.0,63.3,4330.0,36.2,4708.0,39.4
9,ALAMOSA,ALAMOSA RE-11J,100.0,2420.0,1641.0,67.8,771.0,31.9,833.0,34.4
10,ALAMOSA,SANGRE DE CRISTO RE-22J,110.0,355.0,241.0,67.9,114.0,32.1,117.0,33.0
11,ARAPAHOE,ENGLEWOOD 1,120.0,3496.0,2117.0,60.6,1364.0,39.0,1512.0,43.2
12,ARAPAHOE,SHERIDAN 2,123.0,1848.0,1169.0,63.3,680.0,36.8,702.0,38.0
13,ARAPAHOE,CHERRY CREEK 5,130.0,56418.0,45451.0,80.6,10922.0,19.4,11301.0,20.0
14,ARAPAHOE,LITTLETON 6,140.0,16504.0,13418.0,81.3,3075.0,18.6,3203.0,19.4
15,ARAPAHOE,DEER TRAIL 26J,170.0,185.0,130.0,70.3,55.0,29.7,61.0,33.0
16,ARAPAHOE,ADAMS-ARAPAHOE 28J,180.0,45673.0,31436.0,68.8,13911.0,30.5,15360.0,33.6
17,ARAPAHOE,BYERS 32J,190.0,515.0,388.0,75.3,127.0,24.7,130.0,25.2
18,GRAND,EAST GRAND 2,1350.0,1398.0,1080.0,77.3,315.0,22.5,335.0,24.0
19,ARCHULETA,ARCHULETA COUNTY 50 JT,220.0,1641.0,1218.0,74.2,422.0,25.7,452.0,27.5
20,BACA,WALSH RE-1,230.0,150.0,118.0,78.7,32.0,21.3,34.0,22.7
21,BACA,PRITCHETT RE-3,240.0,74.0,43.0,58.1,31.0,41.9,31.0,41.9
