,organization_name,county_name
0,STATE TOTAL,STATE TOTAL
1,MAPLETON 1,ADAMS
2,ADAMS 12 FIVE STAR SCHOOLS,ADAMS
3,ADAMS COUNTY 14,ADAMS
4,BRIGHTON 27J,ADAMS
5,BENNETT 29J,ADAMS
6,STRASBURG 31J,ADAMS
7,WESTMINSTER 50,ADAMS
8,ALAMOSA RE-11J,ALAMOSA
9,SANGRE DE CRISTO RE-22J,ALAMOSA
10,ENGLEWOOD 1,ARAPAHOE
11,SHERIDAN 2,ARAPAHOE
12,CHERRY CREEK 5,ARAPAHOE
13,LITTLETON 6,ARAPAHOE
14,DEER TRAIL 26J,ARAPAHOE
15,ADAMS-ARAPAHOE 28J,ARAPAHOE
16,BYERS 32J,ARAPAHOE
17,ARCHULETA COUNTY 50 JT,ARCHULETA
18,WALSH RE-1,BACA
19,PRITCHETT RE-3,BACA
20,SPRINGFIELD RE-4,BACA
21,VILAS RE-5,BACA
22,CAMPO RE-6,BACA
23,LAS ANIMAS RE-1,BENT
24,MC CLAVE RE-2,BENT
25,ST VRAIN VALLEY RE 1J,BOULDER
26,BOULDER VALLEY RE 2,BOULDER
27,BUENA VISTA R-31,CHAFFEE
28,SALIDA R-32,CHAFFEE
29,KIT CARSON R-1,CHEYENNE
30,CHEYENNE COUNTY RE-5,CHEYENNE
31,CLEAR CREEK RE-1,CLEAR CREEK
32,NORTH CONEJOS RE-1J,CONEJOS
33,SANFORD 6J,CONEJOS
34,SOUTH CONEJOS RE-10,CONEJOS
35,CENTENNIAL R-1,COSTILLA
36,SIERRA GRANDE R-30,COSTILLA
37,CROWLEY COUNTY RE-1-J,CROWLEY
38,CUSTER COUNTY SCHOOL DISTRICT C-1,CUSTER
39,DELTA COUNTY 50(J),DELTA
40,DENVER COUNTY 1,DENVER
41,DOLORES COUNTY RE NO.2,DOLORES
42,DOUGLAS COUNTY RE 1,DOUGLAS
43,EAGLE COUNTY RE 50,EAGLE
44,ELIZABETH C-1,ELBERT
45,KIOWA C-2,ELBERT
46,BIG SANDY 100J,ELBERT
47,ELBERT 200,ELBERT
48,AGATE 300,ELBERT
49,CALHAN RJ-1,EL PASO
50,HARRISON 2,EL PASO
51,WIDEFIELD 3,EL PASO
52,FOUNTAIN 8,EL PASO
53,COLORADO SPRINGS 11,EL PASO
54,CHEYENNE MOUNTAIN 12,EL PASO
55,MANITOU SPRINGS 14,EL PASO
56,ACADEMY 20,EL PASO
57,ELLICOTT 22,EL PASO
58,PEYTON 23 JT,EL PASO
59,HANOVER 28,EL PASO
60,LEWIS-PALMER 38,EL PASO
61,FALCON 49,EL PASO
62,EDISON 54 JT,EL PASO
