,organization_name,county
0,STATE TOTAL,STATE TOTAL
1,MAPLETON 1,Adams
2,ADAMS 12 FIVE STAR SCHOOLS,Adams
3,ADAMS COUNTY 14,Adams
4,BRIGHTON 27J,Adams
5,BENNETT 29J,Adams
6,STRASBURG 31J,Adams
7,WESTMINSTER 50,Adams
8,ALAMOSA RE-11J,Alamosa
9,SANGRE DE CRISTO RE-22J,Alamosa
10,ENGLEWOOD 1,Arapahoe
11,SHERIDAN 2,Arapahoe
12,CHERRY CREEK 5,Arapahoe
13,LITTLETON 6,Arapahoe
14,DEER TRAIL 26J,Arapahoe
15,ADAMS-ARAPAHOE 28J,Arapahoe
16,BYERS 32J,Arapahoe
17,ARCHULETA COUNTY 50 JT,Archuleta
18,WALSH RE-1,Baca
19,PRITCHETT RE-3,Baca
20,SPRINGFIELD RE-4,Baca
21,VILAS RE-5,Baca
22,CAMPO RE-6,Baca
23,LAS ANIMAS RE-1,Bent
24,MC CLAVE RE-2,Bent
25,ST VRAIN VALLEY RE 1J,Boulder
26,BOULDER VALLEY RE 2,Boulder
27,BUENA VISTA R-31,Chaffee
28,SALIDA R-32,Chaffee
29,KIT CARSON R-1,Cheyenne
30,CHEYENNE COUNTY RE-5,Cheyenne
31,CLEAR CREEK RE-1,Clear Creek
32,NORTH CONEJOS RE-1J,Conejos
33,SANFORD 6J,Conejos
34,SOUTH CONEJOS RE-10,Conejos
35,CENTENNIAL R-1,Costilla
36,SIERRA GRANDE R-30,Costilla
37,CROWLEY COUNTY RE-1-J,Crowley
38,CUSTER COUNTY SCHOOL DISTRICT C-1,Custer
39,DELTA COUNTY 50(J),Delta
40,DENVER COUNTY 1,Denver
41,DOLORES COUNTY RE NO.2,Dolores
42,DOUGLAS COUNTY RE 1,Douglas
43,EAGLE COUNTY RE 50,Eagle
44,ELIZABETH C-1,Elbert
45,KIOWA C-2,Elbert
46,BIG SANDY 100J,Elbert
47,ELBERT 200,Elbert
48,AGATE 300,Elbert
49,CALHAN RJ-1,El Paso
50,HARRISON 2,El Paso
51,WIDEFIELD 3,El Paso
52,FOUNTAIN 8,El Paso
53,COLORADO SPRINGS 11,El Paso
54,CHEYENNE MOUNTAIN 12,El Paso
55,MANITOU SPRINGS 14,El Paso
56,ACADEMY 20,El Paso
57,ELLICOTT 22,El Paso
58,PEYTON 23 JT,El Paso
59,HANOVER 28,El Paso
60,LEWIS-PALMER 38,El Paso
61,FALCON 49,El Paso
62,EDISON 54 JT,El Paso
63,MIAMI/YODER 60 JT,El Paso
64,CANON CITY RE-1,Fremont
65,FREMONT RE-2,Fremont
66,COTOPAXI RE-3,Fremont
67,ROARING FORK RE-1,Garfield
